"Date (AEDT)","IP Address","User ID",Category,Activity
"Mon - 04 Nov 2019 18:05:23",122.199.61.52,Guest,"Page View","Setting views to 54 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Mon - 04 Nov 2019 18:06:59",122.199.61.52,Guest,"Page View","Setting views to 55 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Mon - 04 Nov 2019 18:10:55",122.199.61.52,Guest,"Page View","Setting views to 56 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Mon - 04 Nov 2019 18:10:57",122.199.61.52,Guest,"Page View","Setting views to 57 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Mon - 04 Nov 2019 18:19:01",122.199.61.52,Guest,"Page View","Setting views to 58 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Mon - 04 Nov 2019 18:39:40",122.199.61.52,Guest,"Page View","Setting views to 59 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Mon - 04 Nov 2019 18:48:00",122.199.61.52,Guest,"Page View","Setting views to 60 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-fend-hot-rod-deluxe-kemper-profile/"""
"Mon - 04 Nov 2019 18:48:08",122.199.61.52,Guest,"Page View","Setting views to 10 for ""https://daviesguitars.io/metal-guitar-exercises/speed-exercises/"""
"Mon - 04 Nov 2019 18:48:28",122.199.61.52,Guest,"Page View","Setting views to 132 for ""https://daviesguitars.io/my-account/"""
"Mon - 04 Nov 2019 18:48:36",122.199.61.52,Guest,"Page View","Setting views to 133 for ""https://daviesguitars.io/my-account/"""
"Mon - 04 Nov 2019 18:48:46",122.199.61.52,lucifer,"Page View","Setting views to 134 for ""https://daviesguitars.io/my-account/"""
"Mon - 04 Nov 2019 18:48:50",122.199.61.52,lucifer,"Page View","Setting views to 135 for ""https://daviesguitars.io/my-account/"""
"Mon - 04 Nov 2019 18:51:44",80.182.60.220,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/guitar-tab/metallica-whiplash-guitar-pro/"""
"Mon - 04 Nov 2019 18:59:31",45.72.222.84,Guest,"Page View","Setting views to 239 for ""https://daviesguitars.io/"""
"Mon - 04 Nov 2019 20:22:19",86.3.161.183,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/stl-tones-lee-malia-bmth-axe-fx-tone-bundle/"""
"Mon - 04 Nov 2019 20:38:57",86.56.237.226,Guest,"Page View","Setting views to 4 for ""https://daviesguitars.io/explore/guitar-tone/catharsis-guitar-cab-impulse-response-pack/"""
"Mon - 04 Nov 2019 20:39:39",86.56.237.226,Guest,"Page View","Setting views to 4 for ""https://daviesguitars.io/explore/guitar-tone/celestion-classic-lead-80-1x12-closed-impulse-response/"""
"Mon - 04 Nov 2019 20:40:11",86.56.237.226,Guest,"Page View","Setting views to 5 for ""https://daviesguitars.io/explore/guitar-tone/catharsis-guitar-cab-impulse-response-pack/"""
"Mon - 04 Nov 2019 20:58:33",86.153.117.37,Guest,"Page View","Setting views to 240 for ""https://daviesguitars.io/"""
"Mon - 04 Nov 2019 21:13:40",62.232.121.188,Guest,"Page View","Setting views to 241 for ""https://daviesguitars.io/"""
"Mon - 04 Nov 2019 21:14:01",62.232.121.188,Guest,"Page View","Setting views to 180 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Mon - 04 Nov 2019 21:20:10",176.159.231.134,Guest,"Page View","Setting views to 7 for ""https://daviesguitars.io/explore/guitar-tone/silent-underground-studio-presetaday-apr-17-axe-fx-tone-bundle/"""
"Mon - 04 Nov 2019 21:21:19",176.159.231.134,"jean jacques","Page View","Setting views to 8 for ""https://daviesguitars.io/explore/guitar-tone/silent-underground-studio-presetaday-apr-17-axe-fx-tone-bundle/"""
"Mon - 04 Nov 2019 21:23:47",176.159.231.134,"jean jacques",Account,"Save data to account: Array
(
    [0] => Array
        (
            [0] => 22075
            [1] => 22141
        )

)
"
"Mon - 04 Nov 2019 21:27:44",80.151.200.122,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/explore/guitar-tone/lancaster-audio-revv-generator-120-kemper-profile/"""
"Mon - 04 Nov 2019 21:59:14",81.136.231.16,Guest,"Page View","Setting views to 242 for ""https://daviesguitars.io/"""
"Mon - 04 Nov 2019 22:04:48",66.249.83.87,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/another-day-guitar-pro-tab/"""
"Mon - 04 Nov 2019 22:07:28",24.47.64.217,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/blind-guardian-mordreds-song-tab/"""
"Mon - 04 Nov 2019 22:28:08",155.143.3.79,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/ownhammer-core-tone-bundle-impulse-response-bundle/"""
"Mon - 04 Nov 2019 22:55:06",88.234.18.12,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/lamb-of-god-black-label-tab/"""
"Mon - 04 Nov 2019 23:04:50",173.173.212.131,razielpro,"Page View","Setting views to 243 for ""https://daviesguitars.io/"""
"Mon - 04 Nov 2019 23:04:58",173.173.212.131,razielpro,"Page View","Setting views to 9 for ""https://daviesguitars.io/learning-dashboard/"""
"Mon - 04 Nov 2019 23:05:13",173.173.212.131,razielpro,"Page View","Setting views to 17 for ""https://daviesguitars.io/explore/guitar-tone/axp-flextron-guitar-amp-vst/"""
"Mon - 04 Nov 2019 23:06:07",173.173.212.131,razielpro,"Page View","Setting views to 1 for ""https://daviesguitars.io/explore/guitar-tone/avid-eleven-guitar-amp-vst/"""
"Mon - 04 Nov 2019 23:07:01",173.173.212.131,razielpro,"Page View","Setting views to 181 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Mon - 04 Nov 2019 23:09:34",212.164.39.121,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/guitar-tab/guano-apes-rain-tab/"""
"Mon - 04 Nov 2019 23:20:04",145.118.7.42,Guest,"Page View","Setting views to 182 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 00:10:44",37.219.231.171,Guest,"Page View","Setting views to 183 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 00:18:46",37.219.120.164,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/hanoi-rocks-a-day-late-a-dollar-short-guitar-pro/"""
"Tue - 05 Nov 2019 00:19:41",76.121.175.178,Guest,"Page View","Setting views to 184 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 00:20:00",37.219.120.164,Guest,"Page View","Setting views to 2 for ""https://daviesguitars.io/guitar-tab/hanoi-rocks-a-day-late-a-dollar-short-guitar-pro/"""
"Tue - 05 Nov 2019 00:43:45",188.25.217.163,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/epica-dance-of-fate-guitar-pro/"""
"Tue - 05 Nov 2019 00:50:01",80.75.107.173,Guest,"Page View","Setting views to 3 for ""https://daviesguitars.io/guitar-tab/hanoi-rocks-a-day-late-a-dollar-short-guitar-pro/"""
"Tue - 05 Nov 2019 01:32:33",91.193.179.230,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/suicide-silence-you-only-live-once-guitar-pro/"""
"Tue - 05 Nov 2019 02:03:28",173.27.62.98,Guest,"Page View","Setting views to 244 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 02:10:03",188.210.212.96,Guest,"Page View","Setting views to 245 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 02:10:30",188.210.212.96,Guest,"Page View","Setting views to 5 for ""https://daviesguitars.io/explore/guitar-tone/celestion-classic-lead-80-1x12-closed-impulse-response/"""
"Tue - 05 Nov 2019 02:10:39",188.210.212.96,Guest,"Page View","Setting views to 6 for ""https://daviesguitars.io/explore/guitar-tone/catharsis-guitar-cab-impulse-response-pack/"""
"Tue - 05 Nov 2019 02:19:10",35.143.150.161,Guest,"Page View","Setting views to 246 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 02:19:26",35.143.150.161,Guest,"Page View","Setting views to 5 for ""https://daviesguitars.io/free-online-guitar-tuner/"""
"Tue - 05 Nov 2019 02:20:14",35.143.150.161,Guest,"Page View","Setting views to 33 for ""https://daviesguitars.io/guitar-tabs/"""
"Tue - 05 Nov 2019 02:20:47",35.143.150.161,Guest,"Page View","Setting views to 13 for ""https://daviesguitars.io/artists/"""
"Tue - 05 Nov 2019 02:34:54",37.219.231.171,Guest,"Page View","Setting views to 185 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 02:57:30",41.250.207.80,micbuffa,"Page View","Setting views to 247 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 02:57:34",41.250.207.80,micbuffa,"Page View","Setting views to 186 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 03:00:11",41.250.207.80,micbuffa,"Page View","Setting views to 248 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 03:00:15",41.250.207.80,micbuffa,"Page View","Setting views to 187 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 03:08:21",5.173.40.80,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/limp-bizkit-nookie-guitar-pro/"""
"Tue - 05 Nov 2019 03:32:21",81.178.67.171,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/type-o-negative-wolf-moon-including-zoanthropic-paranoia-power/"""
"Tue - 05 Nov 2019 03:33:03",46.103.63.170,Guest,"Page View","Setting views to 1 for ""https://daviesguitars.io/guitar-tab/scorpions-rock-you-like-a-hurricane-chords/"""
"Tue - 05 Nov 2019 03:39:31",37.219.231.171,Guest,"Page View","Setting views to 188 for ""https://daviesguitars.io/online-guitar-amp-simulator/"""
"Tue - 05 Nov 2019 03:52:59",143.159.31.158,Guest,"Page View","Setting views to 249 for ""https://daviesguitars.io/"""
"Tue - 05 Nov 2019 03:54:00",143.159.31.158,Guest,"Page View","Setting views to 18 for ""https://daviesguitars.io/metal-guitar-exercises/daily-skill-trainer/"""
"Tue - 05 Nov 2019 03:54:05",143.159.31.158,Guest,"Page View","Setting views to 24 for ""https://daviesguitars.io/become-guitar-god/"""
"Tue - 05 Nov 2019 03:54:09",143.159.31.158,Guest,"Page View","Setting views to 9 for ""https://daviesguitars.io/become-guitar-god/confirm/"""
"Tue - 05 Nov 2019 03:54:24",143.159.31.158,Guest,"Page View","Setting views to 25 for ""https://daviesguitars.io/become-guitar-god/"""
